dataset,fold,mae_1,rmse_1,r2_1,mae_2,rmse_2,r2_2,mae_3,rmse_3,r2_3,mae_4,rmse_4,r2_4,mae_5,rmse_5,r2_5,mae_6,rmse_6,r2_6,mae_7,rmse_7,r2_7,mae_8,rmse_8,r2_8,mae_9,rmse_9,r2_9,mae_10,rmse_10,r2_10,mae_11,rmse_11,r2_11,mae_12,rmse_12,r2_12,mae_13,rmse_13,r2_13
9,version_0,1.384341835975647,2.114637613296509,0.9219122529029846,27.87835693359375,28.661470413208008,-12.154208183288574,32.26825714111328,33.24385070800781,-16.211137771606445,31.950397491455078,33.14154815673828,-13.184349060058594,31.004684448242188,32.213096618652344,-12.501694679260254,29.59413719177246,31.153118133544922,-9.25103759765625,28.44814109802246,30.213258743286133,-7.8423261642456055,27.40921401977539,29.131711959838867,-7.757330894470215,26.56687355041504,28.19845962524414,-7.962212562561035,26.318082809448242,27.90407943725586,-8.166704177856445,25.547908782958984,27.289501190185547,-7.253151893615723,25.333019256591797,27.22772979736328,-6.634675979614258,25.589183807373047,27.536226272583008,-6.651901721954346
7,version_0,1.4865059852600098,2.3074092864990234,0.9070262312889099,25.66762924194336,26.403736114501953,-10.16345500946045,32.938663482666016,33.930789947509766,-16.92977523803711,32.224525451660156,33.4107551574707,-13.41572093963623,31.53921890258789,32.751949310302734,-12.957178115844727,30.343931198120117,31.89313507080078,-9.743833541870117,29.450119018554688,31.19580841064453,-8.426791191101074,28.68935203552246,30.38538932800293,-8.527289390563965,28.169395446777344,29.767337799072266,-8.98721694946289,28.28566551208496,29.834856033325195,-9.479140281677246,27.890087127685547,29.572341918945312,-8.691702842712402,28.08387565612793,29.894275665283203,-8.2033052444458,28.747840881347656,30.591663360595703,-8.444233894348145
6,version_0,1.4971468448638916,2.282857894897461,0.9089942574501038,23.59046173095703,24.245498657226562,-8.413043975830078,31.173782348632812,32.094730377197266,-15.041847229003906,31.955814361572266,33.13606643676758,-13.17965316772461,31.149629592895508,32.355045318603516,-12.620946884155273,29.72557258605957,31.268131256103516,-9.326868057250977,28.6029109954834,30.348987579345703,-7.921952247619629,27.531644821166992,29.23322296142578,-7.81846809387207,26.61288070678711,28.22479248046875,-7.978959083557129,26.22686004638672,27.792192459106445,-8.093339920043945,25.186811447143555,26.910877227783203,-7.025728225708008,24.551570892333984,26.44667625427246,-6.202942848205566,24.133960723876953,26.0960636138916,-5.872433185577393
1,version_0,1.7948153018951416,2.494851589202881,0.8913072943687439,15.794355392456055,16.3386173248291,-3.274629592895508,24.217126846313477,25.02234649658203,-8.750861167907715,25.293373107910156,26.4124813079834,-8.009117126464844,24.346698760986328,25.522903442382812,-7.475854873657227,22.775474548339844,24.36454963684082,-5.27020263671875,21.53805160522461,23.400230407714844,-4.304100036621094,20.435222625732422,22.273271560668945,-4.119266986846924,19.53238868713379,21.310779571533203,-4.118741512298584,19.240324020385742,20.939062118530273,-4.161693572998047,18.469873428344727,20.240327835083008,-3.54008150100708,18.039644241333008,19.9739990234375,-3.1086373329162598,17.87701416015625,19.770793914794922,-2.944652795791626
10,version_0,1.3959107398986816,2.1714823246002197,0.9176574945449829,30.307209014892578,31.109474182128906,-14.497199058532715,32.4912109375,33.473697662353516,-16.449954986572266,31.889142990112305,33.072349548339844,-13.125175476074219,30.864696502685547,32.057029724121094,-12.371184349060059,29.55425262451172,31.092792510986328,-9.211376190185547,28.201343536376953,29.958148956298828,-7.693634033203125,26.905275344848633,28.624483108520508,-7.4550275802612305,25.507959365844727,27.134777069091797,-7.298832893371582,24.247289657592773,25.83198356628418,-6.855852127075195,21.52927017211914,23.320865631103516,-5.027232646942139,17.739316940307617,19.638158798217773,-2.971635341644287,11.600934982299805,13.517266273498535,-0.8439038991928101
8,version_0,1.5226824283599854,2.25237774848938,0.9114081859588623,30.971027374267578,31.871854782104492,-15.26606559753418,32.9412727355957,33.938011169433594,-16.937408447265625,32.0665283203125,33.25934600830078,-13.285359382629395,31.21119499206543,32.42606735229492,-12.68081283569336,29.955751419067383,31.515125274658203,-9.490663528442383,28.95709800720215,30.717485427856445,-8.139927864074707,28.13324546813965,29.850080490112305,-8.19455623626709,27.570661544799805,29.194421768188477,-8.606477737426758,27.70546531677246,29.287155151367188,-9.097925186157227,27.42352867126465,29.153942108154297,-8.41939926147461,27.88602638244629,29.759517669677734,-8.120518684387207,29.051366806030273,30.97201156616211,-8.680534362792969
4,version_0,1.604983925819397,2.3803791999816895,0.9010528326034546,24.380935668945312,25.117679595947266,-9.10245418548584,32.48403549194336,33.46476745605469,-16.440645217895508,30.964027404785156,32.11766052246094,-12.321452140808105,29.73757553100586,30.919008255004883,-11.43868350982666,28.191621780395508,29.71554183959961,-8.326787948608398,26.776927947998047,28.50988006591797,-6.873398303985596,25.3287353515625,27.01852035522461,-6.53291130065918,23.948823928833008,25.558273315429688,-6.362537384033203,22.992761611938477,24.54644775390625,-6.093410491943359,21.275861740112305,23.026172637939453,-4.875870704650879,19.973970413208008,21.82110595703125,-3.9036707878112793,18.692598342895508,20.54254150390625,-3.258619785308838
3,version_0,1.584864854812622,2.3494246006011963,0.9036095142364502,25.639116287231445,26.340740203857422,-10.110248565673828,31.718677520751953,32.66740036010742,-15.619424819946289,31.145780563354492,32.32858657836914,-12.496997833251953,30.46278190612793,31.653461456298828,-12.036642074584961,29.189231872558594,30.727855682373047,-8.9730806350708,27.800498962402344,29.532896041870117,-7.448575019836426,26.77654457092285,28.468503952026367,-7.363133430480957,25.783695220947266,27.39026641845703,-7.455844879150391,25.3076171875,26.865259170532227,-7.49688720703125,24.22498893737793,25.949996948242188,-6.462824821472168,23.519746780395508,25.428194046020508,-5.658843517303467,23.03404998779297,25.01508140563965,-5.314869403839111
2,version_0,1.5298972129821777,2.3224740028381348,0.9058082699775696,27.58615493774414,28.316282272338867,-11.839269638061523,32.14302062988281,33.11812973022461,-16.08120346069336,30.279088973999023,31.453147888183594,-11.775915145874023,29.89010238647461,31.082677841186523,-11.570719718933105,28.65220832824707,30.220252990722656,-8.646306037902832,27.12596321105957,28.888269424438477,-7.083780288696289,26.05938148498535,27.779090881347656,-6.962984085083008,24.96817970275879,26.605819702148438,-6.978436470031738,24.342370986938477,25.92915153503418,-6.91506290435791,23.116207122802734,24.881092071533203,-5.8606858253479,22.22130012512207,24.180557250976562,-5.021440029144287,21.598712921142578,23.556583404541016,-4.599963188171387
5,version_0,1.526489019393921,2.3131651878356934,0.9065619111061096,26.62010955810547,27.374679565429688,-10.999576568603516,32.81288146972656,33.7862663269043,-16.777359008789062,30.777179718017578,31.931554794311523,-12.16751766204834,30.0610294342041,31.257551193237305,-11.712566375732422,28.579317092895508,30.11188507080078,-8.577247619628906,27.153589248657227,28.889266967773438,-7.08433723449707,25.82582664489746,27.51038360595703,-6.8096771240234375,24.575044631958008,26.17186737060547,-6.720295429229736,23.768590927124023,25.30046272277832,-6.535892963409424,22.18807601928711,23.892398834228516,-5.326275825500488,20.973304748535156,22.818391799926758,-4.362135887145996,19.852964401245117,21.675983428955078,-3.7415266036987305
